Code,Species,,
FIA_0010,Abies,,
FIA_0011,Abies,amabilis,
FIA_0012,Abies,balsamea,
FIA_0015,Abies,concolor,
FIA_0016,Abies,fraseri,
FIA_0017,Abies,grandis,
FIA_0018,Abies,lasiocarpa,arizonica
FIA_0019,Abies,lasiocarpa,
FIA_0020,Abies,magnifica,
FIA_0021,Abies,shastensis,
FIA_0022,Abies,procera,
FIA_0041,Chamaecyparis,lawsoniana,
FIA_0042,Chamaecyparis,nootkatensis,
FIA_0043,Chamaecyparis,thyoides,
FIA_0051,Cupressus,arizonica,
FIA_0057,Juniperus,,
FIA_0059,Juniperus,coahuilensis,
FIA_0061,Juniperus,ashei,
FIA_0062,Juniperus,californica,
FIA_0063,Juniperus,deppeana,
FIA_0064,Juniperus,occidentalis,
FIA_0065,Juniperus,osteosperma,
FIA_0066,Juniperus,scopulorum,
FIA_0067,Juniperus,virginiana,silicicola
FIA_0068,Juniperus,virginiana,
FIA_0069,Juniperus,monosperma,
FIA_0070,Larix,,
FIA_0071,Larix,laricina,
FIA_0072,Larix,lyallii,
FIA_0073,Larix,occidentalis,
FIA_0081,Calocedrus,decurrens,
FIA_0091,Picea,abies,
FIA_0093,Picea,engelmannii,
FIA_0094,Picea,glauca,
FIA_0095,Picea,mariana,
FIA_0096,Picea,pungens,
FIA_0097,Picea,rubens,
FIA_0098,Picea,sitchensis,
FIA_0101,Pinus,albicaulis,
FIA_0102,Pinus,aristata,
FIA_0103,Pinus,attenuata,
FIA_0105,Pinus,banksiana,
FIA_0106,Pinus,edulis,
FIA_0107,Pinus,clausa,
FIA_0108,Pinus,contorta,
FIA_0109,Pinus,coulteri,
FIA_0110,Pinus,echinata,
FIA_0111,Pinus,elliottii,
FIA_0112,Pinus,engelmannii,
FIA_0113,Pinus,flexilis,
FIA_0114,Pinus,strobiformis,
FIA_0115,Pinus,glabra,
FIA_0116,Pinus,jeffreyi,
FIA_0117,Pinus,lambertiana,
FIA_0118,Pinus,leiophylla,
FIA_0119,Pinus,monticola,
FIA_0120,Pinus,muricata,
FIA_0121,Pinus,palustris,
FIA_0122,Pinus,ponderosa,
FIA_0123,Pinus,pungens,
FIA_0124,Pinus,radiata,
FIA_0125,Pinus,resinosa,
FIA_0126,Pinus,rigida,
FIA_0127,Pinus,sabiniana,
FIA_0128,Pinus,serotina,
FIA_0129,Pinus,strobus,
FIA_0130,Pinus,sylvestris,
FIA_0131,Pinus,taeda,
FIA_0132,Pinus,virginiana,
FIA_0133,Pinus,monophylla,
FIA_0134,Pinus,discolor,
FIA_0135,Pinus,arizonica,
FIA_0136,Pinus,nigra,
FIA_0140,Pinus,cembroides,
FIA_0142,Pinus,longaeva,
FIA_0143,Pinus,monophylla,fallax
FIA_0201,Pseudotsuga,macrocarpa,
FIA_0202,Pseudotsuga,menziesii,
FIA_0211,Sequoia,sempervirens,
FIA_0212,Sequoiadendron,giganteum,
FIA_0221,Taxodium,distichum,
FIA_0222,Taxodium,ascendens,
FIA_0230,Taxus,,
FIA_0241,Thuja,occidentalis,
FIA_0242,Thuja,plicata,
FIA_0250,Torreya,,
FIA_0260,Tsuga,,
FIA_0261,Tsuga,canadensis,
FIA_0262,Tsuga,caroliniana,
FIA_0263,Tsuga,heterophylla,
FIA_0264,Tsuga,mertensiana,
FIA_0310,Acer,,
FIA_0311,Acer,barbatum,
FIA_0312,Acer,macrophyllum,
FIA_0313,Acer,negundo,
FIA_0314,Acer,nigrum,
FIA_0315,Acer,pensylvanicum,
FIA_0316,Acer,rubrum,
FIA_0317,Acer,saccharinum,
FIA_0318,Acer,saccharum,
FIA_0319,Acer,spicatum,
FIA_0320,Acer,platanoides,
FIA_0321,Acer,glabrum,
FIA_0322,Acer,grandidentatum,
FIA_0323,Acer,leucoderme,
FIA_0330,Aesculus,,
FIA_0331,Aesculus,glabra,
FIA_0332,Aesculus,flava,
FIA_0334,Aesculus,glabra,arguta
FIA_0341,Ailanthus,altissima,
FIA_0345,Albizia,julibrissin,
