"SppCode","prop_small","prop_med","prop_large"
"ACNE",0.0627352337049884,0.109597049647531,0.102419940635401
"ACSA1",0.151154777063292,0.303803734469524,0.511983650253488
"CICA",0.971353874883287,0.967017954722873,0.999703966844287
"CU",0.250854577993229,0.186297768951101,0.240535889451592
"EU1",0.262973054259134,0.338620501690788,0.285364223860533
"FIBE",0.328593912390511,0.269462988297997,0.184033982617902
"FIMI",0.0661235328711969,0.104160796410753,0.129108821831794
"FRAN2",0.0117841973131507,0.00390707850489452,0.00133818418545455
"FRUH",0.0292763111611377,0.043464215943092,0.0662299454746457
"FRVE",0.0463886723858751,0.0573247049871551,0.0457182671335013
"JU",0.344313665617868,0.293160619251078,0.250800257240227
"LIST",0.975501603414773,0.972567640692501,0.965646529708638
"LITU",0.995503853839566,0.994845360824742,0.992753623188406
"MAGR",0.384987403958404,0.551338074437447,0.658229154441525
"MOAL",0.423693452665634,0.439166442862334,0.420169028524238
"PI2",0.0732252812146171,0.0584544601865171,0.0588249640031977
"PICA",0.0447854799100322,0.0569434225666816,0.0566775245842453
"PIEL2",0.00698678165228152,0.0101232852139692,0.00692697714520037
"PIHA",0.0170165002017004,0.0203479712412595,0.0374286023151811
"PIPI2",0.0120436112746555,0.0188513431497942,0.0559823572341948
"PLOC",0.252715813948391,0.336657253903471,0.387048324884827
"PR",0.392045095922278,0.297056972118665,0.180744283772947
"PRCE",0.156198497444629,0.0876253944199612,0.0470957336963172
"QUAG",0.0453170164109778,0.0445352464350874,0.0601902547422479
"QUIL2",0.033550820164968,0.0518380462853239,0.025985495598477
"SA",0.575157560618446,0.538046614191896,0.524147083940917
"ULPA",0.199201386561997,0.159293526394387,0.0934505263666323
"ACGI",0.0271803138103158,0.00482422094731829,0.000467675426541656
"ACLO",0.0507572709389363,0.032080860844436,0.00167897396035756
"ACME",0.310783648569543,0.495772812795548,0.619611348620288
"ACPA",0.0327921830271359,0.00583300302073625,0.00196238013367382
"ACSA3",0.00112822906940554,0,0
"ACSP2",0.205920769415489,0.144775782037386,0.209677419354839
"AECA2",0.0460150217114236,0.0358826358826359,0.0147492625368732
"ARUN",0.59163384974839,0.684412707390649,0.333333333333333
"BEPE",0.245489448884402,0.25209955521044,0.160700366652748
"CRPH",0.107262469999541,0.0631995532435883,0.111111111111111
"CUMA",0.060618501912743,0.143028540726189,0.305707067250662
"EUCA1",0.0955317225123292,0.0820864004752427,0.141231717218022
"EUCI2",0.0324639428021523,0.0670905462658504,0.0249413133293892
"EUFI81",0.0236938362066144,0.0379762830687507,0.0445817174450358
"EUGL",0.071818555226345,0.0502720922435855,0.151057133169398
"EULE",0.0127068741622191,0.00843265642026298,0.0077101554289276
"EUNI",0.032782597189364,0.0267581481251213,0.0333560297829548
"EUPO",0.0953646909409372,0.101679274005595,0.047215011402097
"EUSI",0.120045727012048,0.13568938969271,0.121939752418717
"FICA",0.146096391973144,0.103014057810909,0.0297052154195011
"FIRE4",0.131918148931108,0.202485070047592,0.261502847931999
"FR",0.216706980050952,0.205107401504821,0.224031715524816
"FROX",0.0337757741884555,0.0195895718277824,0.00332496661343209
"JUCH",0.0938652440351452,0.0922643034536834,0.078951367781155
"JURE",0.113158520055181,0.107866939258134,0.106204842363475
"LIOR",0.00435125630546984,0.00287076540977298,0.00476117877276486
"PEAM",0.799002101107316,0.785776450545516,0.75
"PIAB",0.129952417548305,0.237406995436827,0.447040885996355
"PIRA",0.0128738592210637,0.0177047431380702,0.0250858938039614
"PITH",0.0270217154195107,0.00766400655994417,0.000824690400775932
"PITO2",0.00127448817263813,0.000896180255367168,0.00133165543330673
"PLAC",0.512811332955835,0.384372141974548,0.304707683887392
"PLRA",0.0393586439104905,0.0432305288194342,0.0758668407195296
"PO",0.267687080847402,0.301232657368731,0.306781333395628
"POFR",0.0540301256261817,0.0545084363785753,0.0459795474812464
