"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
-95.304438683789,-102.051236408272,-108.798034132755,-115.544831857238,-122.291629581721,-129.038427306204,-135.785225030687,-142.53202275517,-149.278820479653,-156.025618204136,-162.772415928619,-169.519213653102,-176.266011377585,-183.012809102068,-189.759606826551,-196.506404551034,-203.253202275517
-94.6378581587015,-101.33563120819,-108.033404257678,-114.731177307166,-121.428950356654,-128.126723406142,-134.82449645563,-141.522269505119,-148.220042554607,-154.917815604095,-161.615588653583,-168.313361703071,-175.011134752559,-181.708907802047,-188.406680851536,-195.104453901024,-201.802226950512
-95.2993172840667,-102.634651561475,-109.969985838882,-117.30532011629,-124.640654393698,-131.975988671106,-139.311322948514,-146.646657225922,-153.981991503329,-161.317325780737,-168.652660058145,-175.987994335553,-183.323328612961,-190.658662890369,-197.993997167776,-205.329331445184,-212.664665722592
-94.6278298587203,-101.679133984678,-108.730438110636,-115.781742236593,-122.833046362551,-129.884350488508,-136.935654614466,-143.986958740424,-151.038262866381,-158.089566992339,-165.140871118297,-172.192175244254,-179.243479370212,-186.294783496169,-193.346087622127,-200.397391748085,-207.448695874042
-95.2941199089819,-102.776818737865,-110.259517566749,-117.742216395632,-125.224915224516,-132.707614053399,-140.190312882282,-147.673011711166,-155.155710540049,-162.638409368933,-170.121108197816,-177.603807026699,-185.086505855583,-192.569204684466,-200.05190351335,-207.534602342233,-215.017301171117
-94.6176528151656,-101.610732061332,-108.603811307499,-115.596890553666,-122.589969799833,-129.583049045999,-136.576128292166,-143.569207538333,-150.562286784499,-157.555366030666,-164.548445276833,-171.541524523,-178.534603769166,-185.527683015333,-192.5207622615,-199.513841507667,-206.506920753833
-95.288844855307,-102.448324569701,-109.607804284094,-116.767283998488,-123.926763712882,-131.086243427276,-138.245723141669,-145.405202856063,-152.564682570457,-159.72416228485,-166.883641999244,-174.043121713638,-181.202601428031,-188.362081142425,-195.521560856819,-202.681040571213,-209.840520285606
-94.6073236942384,-101.395128182813,-108.182932671387,-114.970737159961,-121.758541648535,-128.546346137109,-135.334150625684,-142.121955114258,-148.909759602832,-155.697564091406,-162.485368579981,-169.273173068555,-176.060977557129,-182.848782045703,-189.636586534277,-196.424391022852,-203.212195511426
-118.666869063153,-114.804112059438,-110.941355055723,-107.078598052008,-103.215841048293,-99.3530840445786,-95.4903270408637,-91.6275700371488,-87.7648130334339,-83.9020560297191,-80.0392990260042,-76.1765420222893,-72.3137850185744,-68.4510280148595,-64.5882710111447,-60.7255140074298,-56.8627570037149
-118.025360914542,-114.200339684275,-110.375318454008,-106.55029722374,-102.725275993473,-98.9002547632061,-95.075233532939,-91.2502123026718,-87.4251910724046,-83.6001698421374,-79.7751486118702,-75.9501273816031,-72.1251061513359,-68.3000849210687,-64.4750636908015,-60.6500424605344,-56.8250212302672
