city2,genus,PLACEFIPS,FIPS,STFIPS.x,HOUSEUNITS,POPULATION,ecoprovmajority,NAME.y,fdmed1stmean,fdmedlastmean,frzfremedmean,gddmenmean,logdnsmean,logdtrmean,logdtrdnsmean,mindexmean,phmnxtmpmean,pptmeasmean,pptmenmean,tmpmaxmean,tmpmaxsummean,uselevmean,phzone,ha,ecoprovmaj,xcoord,ycoord,namestate,County,inc_1969,inc_1979,inc_1989,State,Mean.YEAR,Mean.Value,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,coastdat.coast3,canopy,city,small,med,large,state,trait_value.diameter.at.breast.height..1.3.m.,trait_value.leaf.area,trait_value.leaf.dry.mass,trait_value.seed.mass,trait_value.whole.plant.height,OrigValueStr.Leaf.length,OrigValueStr.Leaf.thickness,OrigValueStr.Leaf.width,OrigValueStr.Plant.growth.rate,OrigValueStr.Plant.height.vegetative,OrigValueStr.Plant.lifespan..longevity.,OrigValueStr.Stem.diameter,small_cor,med_cor,large_cor,log_small
ABINGDON VA,abies,5100148,55043,51,4271,8187,2210,ABINGDON,282.2,123.2,159,3309.4,197.3809524,5.285714286,214.1428571,0.348342812,-1965.47619,124.8,1135,187,283,639.3465024,62,2090.12193,2210,1237104,1609619,WashingtonVirginia,"Washington County, VA",33830,22012,18559,Virginia,1975.330839,235049.9212,117,131,38,7569,284,-53,337,194,72,212,16,1160,120,82,12,336,252,325,262,437428.2019,0.179229445,ABINGDON,,,,VA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ADAMS WI,abies,5500275,6013,55,990,2039,222,ADAMS,267.0628771,136,131.0628771,2461.383856,140.3636364,15,147.2727273,0.393074173,-2977,100.2328816,831.9963931,130,266.9272647,290.5647873,42,764.04705,222,494099,2345423,AdamsWisconsin,"Adams County, WI",20774,21767,19113,Wisconsin,1970.01046,101859.5041,67,125,28,10850,281,-159,440,187,-82,199,-82,813,104,25,42,303,84,295,84,1064578.82,0.24241489,ADAMS,,,,WI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ADRIAN MI,abies,2600440,30029,26,8977,21244,222,ADRIAN,280,124,156,2722,195.173913,6.260869565,181.3043478,0.339753753,-2299.857143,111.2857143,890.1666667,150.3333333,276.8888855,244.0017908,61,2118.61182,222,982343,2161528,LenaweeMichigan,"Lenawee County, MI",23414,31062,28913,Michigan,1960.50102,103857.8372,89,114,30,9453,284,-93,377,207,-37,207,-37,855,91,45,20,260,156,260,156,678622.7672,0.124965778,ADRIAN,,,,MI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ALBERTON MT,abies,3000700,36065,30,202,429,3330,ALBERTON,255.2815859,154.4762549,100.8053311,1457.988737,198.5,9.5,247,0.190974072,-2410.114407,108.7634491,484.1322861,135.6822622,261.3542453,941.1609756,52,155.3994,3330,-1403169,2804993,MineralMontana,"Mineral County, MT",19716,26920,25555,Montana,1964.547739,141315.7895,50,140,37,7752,266,-103,369,86,3,152,-46,446,54,28,22,138,93,115,113,589362.9355,0.078805104,ALBERTON,,,,MT,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ALEXANDRIA VA,abies,5101000,55051,51,72376,148700,232,ALEXANDRIA,301.8181818,103.9090909,197.9090909,4060.090909,224.9487179,0.153846154,174.025641,0.268117683,-1459.55,103.4545455,1075.545455,191.0909091,299.9697016,32.03425837,72,3967.86468,232,1616130,1915938,NA,NA,24450,28756.75748,26234.44882,NA,1971.015447,547867.8282,131,115,32,8501,306,-43,349,231,19,238,19,1014,104,71,11,290,225,288,225,20569.35875,0.186875369,ALEXANDRIA,,,,VA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ALGONQUIN IL,abies,1700685,20167,17,10727,30581,222,ALGONQUIN,281.1111111,123.3333333,157.7777778,2810.555556,161.2121212,18.24242424,178.2727273,0.373128444,-2541.258065,100.7777778,934.5,142,273.6666718,261.6199906,52,3216.76758,222,629988,2154617,KaneIllinois,"Kane County, IL",21250,37036,35091,Illinois,1989.045392,264858.337,86,113,27,10213,285,-120,405,211,-54,211,-54,919,106,32,32,314,126,314,126,1010111.404,0.10598412,ALGONQUIN,,,,IL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ALLENTOWN PA,abies,4202000,47069,42,46921,120301,2210,ALLENTOWN,289.5333333,114.4,175.1333333,3099.266667,229.673913,0.260869565,161.1521739,0.388895168,-1867.533333,109,1170.714286,161.5,278.7381003,105.0640755,62,4669.75197,2210,1709052,2139032,LehighPennsylvania,"Lehigh County, PA",30778,31486,29168,Pennsylvania,1955.514818,149244.9753,106,119,32,8911,298,-71,369,210,1,220,-11,1128,108,72,11,315,244,311,245,88686.36763,0.156807633,ALLENTOWN,,,,PA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ALLIANCE NE,abies,3100905,37077,31,4075,8476,331,ALLIANCE,268.75,132,136.75,2508.5,192.5833333,5.416666667,170.25,0.054563027,-2857,70,410.25,157.75,286.75,1212.360397,51,1302.76497,331,-564410,2142753,Box ButteNebraska,"Box Butte County, NE",23838,30708,19947,Nebraska,1962.96665,103378.6798,85,157,36,9328,311,-116,427,181,-31,209,-31,420,80,9,68,216,28,178,28,1517033.456,0.022880348,ALLIANCE,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ALONDRA PARK CA,abies,601150,15001,6,2818,8871,261,ALONDRA PARK,-1,-1,-1,4911.793821,199.3333333,3.333333333,180,-0.574104278,304,26,343.6509448,225,254.1498962,22.67692308,102,295.25886,261,-2032080,1442406,Los AngelesCalifornia,"Los Angeles County, CA",21555,29410,29127,California,1962.742448,462197.0921,179,102,54,3021,275,87,188,146,213,221,144,325,74,0,96,196,3,8,187,6911.052143,0.015418315,ALONDRA PARK,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ALSIP IL,abies,1701010,20087,17,7927,19197,222,ALSIP,294.75,112.5,182.25,3344.75,204.8235294,0.470588235,181.0588235,0.343895316,-2310.055556,110.75,966.75,152.75,280.2500076,182.2449438,61,1688.67348,222,682162,2103682,CookIllinois,"Cook County, IL",17368,32151,32202,Illinois,1975.026305,169954.955,100,103,26,9999,291,-97,388,223,-35,223,-35,933,101,36,28,300,143,300,143,946828.4418,0.075216257,ALSIP,,,,IL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
