ID,AREA_calc,Total.N.19.11,PopDen1900,PopDen1910,PopDen1920,PopDen1930,PopDen1940,PopDen1950,PopDen1960,PopDen1970,PopDen1980,PopDen1990,PopDen2000,PopDenEst2007,Income1999,Dist2PortM,RdLengthKM,Forestland,HostSppCnt,TreeDen,ABL_pres,ALB_pres,AOW_pres,BBD_pres,BC_pres,BEBB_pres,BL_pres,BM_pres,BVW_pres,BWA_pres,CB_pres,CBT_pres,CDC_pres,CHS_pres,CS_pres,DED_pres,DWA_pres,EAB_pres,EFW_pres,EHS_pres,EL_pres,ELB_pres,ELC_pres,ELM_pres,EP_pres,EPLR_pres,EPNM_pres,EPS_pres,EPSM_pres,ESB_pres,ESGA_pres,ESN_pres,EWLS_pres,GM_pres,GSA_pres,HWA_pres,IBT_pres,IPS_pres,IWLB_pres,JB_pres,JCLB_pres,JS_pres,LC_pres,LS_pres,LW_pres,MAS_pres,MPB_pres,MPEB_pres,MW_pres,OS_pres,OW_pres,PFW_pres,PHM_pres,POCRD_pres,PRR_pres,PS_pres,PSB_pres,PT_pres,PWB_pres,RLP_pres,RPBB_pres,RPS_pres,SB_pres,SC_pres,SEEBB_pres,SM_pres,SOD_pres,SWW_pres,WM_pres,WPBR_pres,WS_pres,CRS_pres,EBB_pres,GOS_pres,CCS_pres,SBS_pres,SJS_pres,PTB_pres,X_coord,Y_coord
8556,5381595057,11423055.6,-0.298856699,-0.285439343,-0.276925992,-0.280216547,-0.272776409,-0.276491034,-0.279409558,-0.279602733,-0.275696028,-0.277294561,-0.275140514,-0.273928003,-0.250817809,2.009965671,-0.119462615,0.080875672,-0.135081612,-0.126053335,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0.7639396,0,0,0,0,0,0.100761771,1,0,52167.9805,1017313.635
8557,7324487821,26687941.5,-0.323824283,-0.313938696,-0.303990877,-0.305081111,-0.298352448,-0.299817476,-0.300426429,-0.299371317,-0.296133661,-0.294495337,-0.291967395,-0.29019843,0.037061107,1.856413394,-0.348077832,1.566770026,-0.160639897,-0.098925651,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,102167.9805,1017313.635
8728,5838882620,13469761.83,-0.309569267,-0.301033746,-0.292803711,-0.296211879,-0.289133004,-0.292344647,-0.296454812,-0.295911473,-0.292469714,-0.289816438,-0.28584318,-0.284170024,-0.271736804,2.006292236,-0.559143937,0.255754994,-0.229509173,-0.123725058,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0.781668453,0,0,0,0,0,0,1,0,52167.9805,1067313.635
8729,6920831911,27584740.48,-0.331223914,-0.324238587,-0.316538536,-0.311380578,-0.306349783,-0.307478533,-0.306794753,-0.308289084,-0.308053183,-0.309096201,-0.31072372,-0.312160377,0.388516618,1.828309808,-0.476889203,1.826266304,-0.253523108,-0.095014217,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,102167.9805,1067313.635
8900,4524454448,8740310.396,-0.320415988,-0.313703145,-0.310663516,-0.305239369,-0.298651661,-0.301152001,-0.305791045,-0.30718493,-0.305976496,-0.301705238,-0.298988574,-0.300254189,-0.045693665,2.034986132,-1.017246929,0.006721503,-0.338853417,-0.126575916,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,52167.9805,1117313.635
8901,4667473511,12046335.55,-0.331223914,-0.331223914,-0.331223914,-0.318672252,-0.313342145,-0.316394763,-0.318343048,-0.319291762,-0.319959145,-0.3190254,-0.317690632,-0.318968537,-0.057590583,1.97578077,-1.284376663,0.307208788,-0.342344102,-0.115158447,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,102167.9805,1117313.635
9072,4667473511,12046335.55,-0.331223914,-0.331223914,-0.331223914,-0.318672252,-0.313342145,-0.316394763,-0.318343048,-0.319291762,-0.319959145,-0.3190254,-0.317690632,-0.318968537,-0.057590583,1.97578077,-1.284376663,0.307208788,-0.342344102,-0.115158447,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,52167.9805,1167313.635
9073,4667473511,12046335.55,-0.331223914,-0.331223914,-0.331223914,-0.318672252,-0.313342145,-0.316394763,-0.318343048,-0.319291762,-0.319959145,-0.3190254,-0.317690632,-0.318968537,-0.057590583,1.97578077,-1.284376663,0.307208788,-0.342344102,-0.115158447,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,102167.9805,1167313.635
9037,6482479168,0,-0.319234926,-0.308708622,-0.31087263,-0.315385765,-0.308929569,-0.302627502,-0.286752244,-0.291234729,-0.284829423,-0.280489631,-0.264360704,-0.258167771,-0.392016313,1.230199045,0.211043981,-0.066060039,-0.72264565,-0.159022558,0,0,0,0,0,1,1,0,1,0.308981201,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.308981201,0.308981201,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,-1697832.02,1167313.635
9038,5914545257,0,-0.280437011,-0.21895967,-0.221276061,-0.220062804,-0.211182514,-0.178033384,-0.14452433,-0.140265281,-0.099386781,-0.086636521,-0.045834758,-0.021709865,-0.095190397,1.307033721,0.205500897,0.738051373,-0.514978983,-0.159022558,0,0,0,0,0,1,1,0,1,0.539318387,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.799889363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.739429025,0.739429025,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,-1647832.02,1167313.635
