"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10601001,-0.10577739,-0.10572238,-0.10547483,-0.10506058,-0.10317903,-0.1034107,-0.10246553,-0.10191186
-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10605174,-0.10601001,-0.10577739,-0.10572238,-0.10547483,-0.10506058,-0.10317903,-0.1034107,-0.10246553,-0.10191186
-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10408263,-0.10344706,-0.10268065,-0.10206238,-0.10067138,-0.09819747,-0.09812483,-0.09674227,-0.09692139
-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10502592,-0.10408263,-0.10344706,-0.10268065,-0.10206238,-0.10067138,-0.09819747,-0.09812483,-0.09674227,-0.09692139
-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.10581119,-0.1057886,-0.10560667,-0.10519926,-0.10507433,-0.1042277,-0.10142713,-0.10215522,-0.1009848,-0.09970199
-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10502358,-0.10401896,-0.1020413,-0.10173662,-0.10074616,-0.09995649,-0.09892247,-0.09524677,-0.09419794
-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10527446,-0.10502358,-0.10401896,-0.1020413,-0.10173662,-0.10074616,-0.09995649,-0.09892247,-0.09524677,-0.09419794
-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10454515,-0.10417281,-0.10391203,-0.10321271,-0.10307002,-0.1011447,-0.09732831,-0.09822596,-0.09704396,-0.09545602
-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10431847,-0.10412488,-0.10263733,-0.10082765,-0.09819493,-0.09689901,-0.09646276,-0.09275887,-0.09134689
-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10510217,-0.10431847,-0.10412488,-0.10263733,-0.10082765,-0.09819493,-0.09689901,-0.09646276,-0.09275887,-0.09134689
