genus,pest,genus.1,severity,clean_pest,genus2
Abies amabilis,Balsam woolly adelgid (Adelges piceae)*,I/S,3,Adelges piceae,Abies
Abies balsamea,Balsam woolly adelgid (Adelges piceae)*,I/S,8,Adelges piceae,Abies
Abies fraseri,Balsam woolly adelgid (Adelges piceae)*,I/S,8,Adelges piceae,Abies
Abies grandis,Balsam woolly adelgid (Adelges piceae)*,I/S,3,Adelges piceae,Abies
Abies lasiocarpa,Balsam woolly adelgid (Adelges piceae)*,I/S,8,Adelges piceae,Abies
Acer floridanum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer floridanum,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Acer
Acer floridanum,Oystershell scale (Lepidosaphes ulmi)*,I/S,1,Lepidosaphes ulmi,Acer
Acer glabrum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer glabrum,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Acer
Acer glabrum,Oystershell scale (Lepidosaphes ulmi)*,I/S,1,Lepidosaphes ulmi,Acer
Acer grandidentatum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer grandidentatum,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Acer
Acer grandidentatum,Oystershell scale (Lepidosaphes ulmi)*,I/S,1,Lepidosaphes ulmi,Acer
Acer leucoderme,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer leucoderme,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Acer
Acer leucoderme,Oystershell scale (Lepidosaphes ulmi)*,I/S,1,Lepidosaphes ulmi,Acer
Acer macrophyllum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer negundo,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer nigrum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer nigrum,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Acer
Acer pensylvanicum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer pensylvanicum,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Acer
Acer rubrum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer saccharinum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer saccharinum,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Acer
Acer saccharum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer spicatum,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,8,Anoplophora glabripennis,Acer
Acer spicatum,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Acer
Aesculus californica,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Aesculus
Aesculus flava,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Aesculus
Aesculus glabra,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Aesculus
Aesculus glabra var. arguta,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Aesculus
Aesculus pavia,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Aesculus
Aesculus sylvatica,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Aesculus
Amelanchier arborea,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Amelanchier
Amelanchier sanguinea,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Amelanchier
Betula alleghaniensis,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Betula
Betula lenta,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Betula
Betula lenta,Gypsy moth (Lymantria dispar dispar)*,I/F,1,Lymantria dispar,Betula
Betula nigra,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Betula
Betula nigra,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Betula
Betula nigra,Birch leafminer (Fenusa pusilla)*,I/F,1,Fenusa pusilla,Betula
Betula nigra,Oystershell scale (Lepidosaphes ulmi)*,I/S,1,Lepidosaphes ulmi,Betula
Betula occidentalis,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Betula
Betula papyrifera,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,5,Anoplophora glabripennis,Betula
Betula papyrifera,Birch leafminer (Fenusa pusilla)*,I/F,3,Fenusa pusilla,Betula
