"sci","FIA  Code","code.x","code.y"
"ABIES","0010","ABIES","AB"
"ABIES AMABILIS","0011","ABAM","ABAM"
"ABIES BALSAMEA","0012","ABBA","ABBA"
"ABIES BRACTEATA","0014","ABBR","ABBR"
"ABIES CONCOLOR","0015","ABCO","ABCO"
"ABIES FRASERI","0016","ABFR","ABFR"
"ABIES GRANDIS","0017","ABGR","ABGR"
"ABIES LASIOCARPA","0019","ABLA","ABLA"
"ABIES LASIOCARPA VAR. ARIZONICA","0018","ABLAA","ABLAA"
"ABIES MAGNIFICA","0020","ABMA","ABMA"
"ABIES PROCERA","0022","ABPR","ABPR"
"ABIES SHASTENSIS","0021","ABSH","ABSH"
"ACACIA","0300","ACACI","ACSP2"
"ACACIA FARNESIANA","0303","ACFA","ACFA"
"ACACIA GREGGII","0304","ACGR","ACGR2"
"ACER","0310","ACER","AC"
"ACER BARBATUM","0311","ACBA3","ACBA"
"ACER GLABRUM","0321","ACGL","ACGL"
"ACER GRANDIDENTATUM","0322","ACGR3","ACGR3"
"ACER LEUCODERME","0323","ACLE","ACLE"
"ACER MACROPHYLLUM","0312","ACMA3","ACMA"
"ACER NEGUNDO","0313","ACNE2","ACNE"
"ACER NIGRUM","0314","ACNI5","ACNI"
"ACER PENSYLVANICUM","0315","ACPE","ACPE"
"ACER PLATANOIDES","0320","ACPL","ACPL"
"ACER RUBRUM","0316","ACRU","ACRU"
"ACER SACCHARINUM","0317","ACSA2","ACSA1"
"ACER SACCHARUM","0318","ACSA3","ACSA2"
"ACOELORRAPHE WRIGHTII","0906","ACWR4","ACWR"
"AESCULUS","0330","AESCU","AE"
"AESCULUS CALIFORNICA","0333","AECA","AECA2"
"AESCULUS FLAVA","0332","AEFL","AEFL"
"AESCULUS GLABRA","0331","AEGL","AEGL"
"AESCULUS GLABRA VAR. ARGUTA","0334","AEGLA","AEGLA"
"AESCULUS PAVIA","0336","AEPA","AEPA"
"AESCULUS SYLVATICA","0337","AESY","AESY"
"AILANTHUS ALTISSIMA","0341","AIAL","AIAL"
"ALBIZIA JULIBRISSIN","0345","ALJU","ALJU"
"ALNUS","0350","ALNUS","AL"
"ALNUS GLUTINOSA","0355","ALGL2","ALGL"
"ALNUS OBLONGIFOLIA","0353","ALOB2","ALOB"
"ALNUS RHOMBIFOLIA","0352","ALRH2","ALRH"
"ALNUS RUBRA","0351","ALRU2","ALRU2"
"AMELANCHIER","0356","AMELA","AM"
"AMELANCHIER ARBOREA","0357","AMAR3","AMAR"
"AMELANCHIER SANGUINEA","0358","AMSA","AMSA"
"AMYRIS ELEMIFERA","0852","AMEL","AMEL"
"ANNONA GLABRA","0853","ANGL4","ANGL"
"ARBUTUS","0360","ARBUT","AR4"
"ARBUTUS ARIZONICA","0362","ARAR2","ARAR2"
"ARBUTUS MENZIESII","0361","ARME","ARME"
"ARBUTUS XALAPENSIS","0363","ARXA80","ARTE"
"ASIMINA TRILOBA","0367","ASTR","ASTR"
"AVICENNIA GERMINANS","0986","AVGE","AVGE"
"BETULA","0370","BETUL","BE"
"BETULA ALLEGHANIENSIS","0371","BEAL2","BEAL"
"BETULA LENTA","0372","BELE","BELE"
"BETULA NIGRA","0373","BENI","BENI"
"BETULA OCCIDENTALIS","0374","BEOC2","BEOC"
"BETULA PAPYRIFERA","0375","BEPA","BEPA"
"BETULA POPULIFOLIA","0379","BEPO","BEPO"
"BETULA UBER","0377","BEUB","BEUB"
"BETULA X UTAHENSIS","0378","BEUT","BEUT"
"BURSERA SIMARUBA","0854","BUSI","BUSI"
"CALOCEDRUS DECURRENS","0081","CADE27","CADE2"
"CARPINUS CAROLINIANA","0391","CACA18","CACA"
"CARYA","0400","CARYA","CA1"
"CARYA ALBA","0409","CAAL27","CATO"
"CARYA AQUATICA","0401","CAAQ2","CAAQ"
"CARYA CAROLINAE-SEPTENTRIONALIS","0413","CACA38","CACA38"
"CARYA CORDIFORMIS","0402","CACO15","CACO"
"CARYA FLORIDANA","0411","CAFL6","CAFL"
"CARYA GLABRA","0403","CAGL8","CAGL"
"CARYA ILLINOINENSIS","0404","CAIL2","CAIL"
"CARYA LACINIOSA","0405","CALA21","CALA"
"CARYA MYRISTICIFORMIS","0406","CAMY","CAMY"
"CARYA OVALIS","0412","CAOV3","CAOV2"
"CARYA OVATA","0407","CAOV2","CAOV"
"CARYA PALLIDA","0410","CAPA24","CAPA"
"CARYA TEXANA","0408","CATE9","CATE"
"CASTANEA","0420","CASTA","CA4"
"CASTANEA DENTATA","0421","CADE12","CADE"
"CASTANEA MOLLISSIMA","0424","CAMO83","CAMO"
"CASTANEA PUMILA","0422","CAPU9","CAPU"
"CATALPA","0450","CATAL","CA3"
"CATALPA BIGNONIOIDES","0451","CABI8","CABI"
"CELTIS","0460","CELTI","CE2"
"CELTIS LAEVIGATA","0461","CELA","CELA"
"CELTIS LAEVIGATA VAR. RETICULATA","0463","CELAR","CERE"
