popden2010,popden2020,popden2030,popden2040,popden2050,popden2060
-0.082249285,-0.062038726,-0.041828166,-0.019523578,0.00278101,0.025085598
-0.056837405,-0.034152432,-0.011467458,0.013332379,0.038132215,0.062932052
-0.085295785,-0.062897379,-0.040498972,-0.01560623,0.009286513,0.034179255
-0.256965897,-0.258611185,-0.260256473,-0.263436975,-0.266617476,-0.269797977
-0.301955553,-0.30247075,-0.302985947,-0.303958502,-0.304931058,-0.305903614
-0.28613752,-0.287441,-0.28874448,-0.290594956,-0.292445432,-0.294295908
-0.28613752,-0.287441,-0.28874448,-0.290594956,-0.292445432,-0.294295908
-0.28613752,-0.287441,-0.28874448,-0.290594956,-0.292445432,-0.294295908
-0.170421994,-0.144360933,-0.118299871,-0.083606004,-0.048912136,-0.014218269
0.018492587,0.037635816,0.056779045,0.064610754,0.072442463,0.080274172
-0.184697862,-0.165936707,-0.147175552,-0.124470037,-0.101764521,-0.079059005
-0.271273649,-0.270363131,-0.269452613,-0.26967543,-0.269898246,-0.270121062
-0.254540693,-0.250236691,-0.24593269,-0.241369028,-0.236805366,-0.232241704
-0.25643631,-0.254917514,-0.253398718,-0.253373981,-0.253349244,-0.253324507
-0.254540693,-0.250236691,-0.24593269,-0.241369028,-0.236805366,-0.232241704
-0.246004908,-0.242577692,-0.239150475,-0.236159507,-0.233168538,-0.230177569
0.219426263,0.253546913,0.287667563,0.304052149,0.320436735,0.336821321
0.187942593,0.216795186,0.245647779,0.257229747,0.268811715,0.280393683
-0.256020526,-0.255530831,-0.255041136,-0.256230821,-0.257420505,-0.258610189
-0.253267463,-0.252960717,-0.25265397,-0.254536584,-0.256419198,-0.258301811
-0.220397414,-0.219600568,-0.218803723,-0.220530859,-0.222257995,-0.223985131
-0.256020526,-0.255530831,-0.255041136,-0.256230821,-0.257420505,-0.258610189
-0.055935472,-0.031791737,-0.007648002,0.014572958,0.036793918,0.059014878
-0.131532664,-0.104513932,-0.0774952,-0.04452962,-0.01156404,0.02140154
-0.047971617,-0.024845931,-0.001720245,0.020164875,0.042049994,0.063935114
-0.236552861,-0.231396398,-0.226239934,-0.22056122,-0.214882505,-0.20920379
0.688890889,0.769201151,0.849511414,0.886421511,0.923331608,0.960241705
-0.236552861,-0.231396398,-0.226239934,-0.22056122,-0.214882505,-0.20920379
1.002558052,1.107704818,1.212851584,1.249388849,1.285926113,1.322463378
-0.236552861,-0.231396398,-0.226239934,-0.22056122,-0.214882505,-0.20920379
0.264669319,0.301707866,0.338746412,0.356111195,0.373475978,0.390840761
-0.271234509,-0.271195655,-0.271156802,-0.273124401,-0.275092,-0.277059599
-0.272764847,-0.27302961,-0.273294373,-0.275297069,-0.277299764,-0.27930246
-0.295560138,-0.295800048,-0.296039957,-0.297139794,-0.298239631,-0.299339467
-0.295560138,-0.295800048,-0.296039957,-0.297139794,-0.298239631,-0.299339467
-0.298211892,-0.298755746,-0.299299601,-0.300491859,-0.301684117,-0.302876375
-0.186411903,-0.181120553,-0.175829202,-0.174551419,-0.173273637,-0.171995855
-0.293576804,-0.294142096,-0.294707388,-0.295987263,-0.297267139,-0.298547014
-0.223145109,-0.2203331,-0.217521091,-0.217660143,-0.217799195,-0.217938247
-0.292242977,-0.292799021,-0.293355065,-0.29472471,-0.296094356,-0.297464001
-0.200960362,-0.197107402,-0.193254441,-0.193080647,-0.192906853,-0.192733059
-0.200960362,-0.197107402,-0.193254441,-0.193080647,-0.192906853,-0.192733059
-0.129661096,-0.120573706,-0.111486316,-0.111543587,-0.111600857,-0.111658127
-0.151091788,-0.138880625,-0.126669461,-0.121790734,-0.116912007,-0.11203328
-0.207199753,-0.203165749,-0.199131745,-0.198345755,-0.197559764,-0.196773773
-0.171840318,-0.16595721,-0.160074103,-0.158508744,-0.156943385,-0.155378027
-0.172289678,-0.160649024,-0.14900837,-0.141771128,-0.134533886,-0.127296644
-0.182840806,-0.172127632,-0.161414457,-0.154987682,-0.148560907,-0.142134131
-0.135547546,-0.128535108,-0.12152267,-0.120242853,-0.118963035,-0.117683218
-0.208061261,-0.201441603,-0.194821945,-0.190230549,-0.185639154,-0.181047758
-0.18595874,-0.178227125,-0.170495511,-0.165247497,-0.159999484,-0.154751471
-0.18595874,-0.178227125,-0.170495511,-0.165247497,-0.159999484,-0.154751471
-0.18595874,-0.178227125,-0.170495511,-0.165247497,-0.159999484,-0.154751471
-0.287733762,-0.281545661,-0.27535756,-0.267127656,-0.258897753,-0.250667849
-0.292059503,-0.287643408,-0.283227313,-0.27774159,-0.272255867,-0.266770143
-0.270251307,-0.261317157,-0.252383008,-0.240499773,-0.228616539,-0.216733304
-0.282671742,-0.277132625,-0.271593508,-0.264738155,-0.257882803,-0.251027451
-0.312564397,-0.312411555,-0.312258713,-0.312617339,-0.312975965,-0.313334592
-0.318314967,-0.317795495,-0.317276023,-0.316909075,-0.316542126,-0.316175177
-0.313608263,-0.313317419,-0.313026574,-0.313460138,-0.313893702,-0.314327266
-0.313608263,-0.313317419,-0.313026574,-0.313460138,-0.313893702,-0.314327266
-0.308753411,-0.306382162,-0.304010913,-0.301172827,-0.298334741,-0.295496656
-0.295777988,-0.292208811,-0.288639633,-0.284456013,-0.280272393,-0.276088773
