"SP","sci.x","pest","genus.1","severity","clean_pest","genus2","FIA..Code","code.x","Common.Name","Genus.x","Species.x","genus","FIA  Code","code.y","Common Name","Genus.y","Species.y","sci.y"
"ALLEGHENY CHINKAPIN","CASTANEA PUMILA","Asiatic oak weevil (Cyrtepistomus castaneus)*","I/F",1,"Cyrtepistomus castaneus","Castanea",422,"CAPU9","ALLEGHENY CHINKAPIN","Castanea","pumila","castanea","0422","CAPU9","Allegheny chinkapin","Castanea","pumila","CASTANEA PUMILA"
"ALLIGATOR JUNIPER","JUNIPERUS DEPPEANA","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",63,"JUDE2","ALLIGATOR JUNIPER","Juniperus","deppeana","juniperus","0063","JUDE2","alligator juniper","Juniperus","deppeana","JUNIPERUS DEPPEANA"
"AMERICAN BASSWOOD","TILIA AMERICANA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Tilia",951,"TIAM","AMERICAN BASSWOOD","Tilia","americana","tilia","0951","TIAM","American basswood","Tilia","americana","TILIA AMERICANA"
"AMERICAN BASSWOOD","TILIA AMERICANA","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Tilia",951,"TIAM","AMERICAN BASSWOOD","Tilia","americana","tilia","0951","TIAM","American basswood","Tilia","americana","TILIA AMERICANA"
"AMERICAN CHESTNUT","CASTANEA DENTATA","Asiatic oak weevil (Cyrtepistomus castaneus)*","I/F",1,"Cyrtepistomus castaneus","Castanea",421,"CADE12","AMERICAN CHESTNUT","Castanea","dentata","castanea","0421","CADE12","American chestnut","Castanea","dentata","CASTANEA DENTATA"
"AMERICAN ELM","ULMUS AMERICANA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",3,"Anoplophora glabripennis","Ulmus",972,"ULAM","AMERICAN ELM","Ulmus","americana","ulmus","0972","ULAM","American elm","Ulmus","americana","ULMUS AMERICANA"
"AMERICAN ELM","ULMUS AMERICANA","Banded elm bark beetle (Scolytus schevyrewi)*","I/B",3,"Scolytus schevyrewi","Ulmus",972,"ULAM","AMERICAN ELM","Ulmus","americana","ulmus","0972","ULAM","American elm","Ulmus","americana","ULMUS AMERICANA"
"AMERICAN MOUNTAIN ASH","SORBUS AMERICANA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Sorbus",935,"SOAM3","AMERICAN MOUNTAIN ASH","Sorbus","americana","sorbus","0935","SOAM3","American mountain ash","Sorbus","americana","SORBUS AMERICANA"
"APACHE PINE","PINUS ENGELMANNII","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",112,"PIEN2","APACHE PINE","","engelmannii","","0112","PIEN2","Apache pine","","engelmannii","PINUS ENGELMANNII"
"APACHE PINE","PINUS ENGELMANNII","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",112,"PIEN2","APACHE PINE","","engelmannii","","0112","PIEN2","Apache pine","","engelmannii","PINUS ENGELMANNII"
"ARIZONA PINE","PINUS ARIZONICA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",135,"PIAR5","ARIZONA PINE","","arizonica","","0135","PIAR5","Arizona pine","","arizonica","PINUS ARIZONICA"
