"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,1,1,1,1,1,284,1057,606
"2",2,2,2,2,2,2,287,1061,608
"3",3,3,3,3,3,3,288,1076,694
"4",4,4,4,4,132,4,289,1211,695
"5",5,5,5,5,133,5,293,1212,747
"6",6,6,6,6,134,6,415,1213,749
"7",7,7,7,7,136,7,424,1214,750
"8",8,8,8,8,138,8,425,1215,763
"9",81,17,17,37,148,37,427,1216,771
"10",82,20,20,44,149,44,428,1230,828
"11",83,27,27,47,150,47,430,1395,861
"12",86,31,31,48,151,48,431,1487,869
"13",89,32,32,50,152,50,432,1488,870
"14",90,33,33,51,153,51,481,1489,877
"15",91,34,34,52,154,52,483,1490,878
"16",92,35,35,53,155,53,484,1491,880
"17",93,36,36,54,156,54,486,1492,881
"18",94,37,37,55,157,55,487,1924,884
"19",95,38,38,56,158,56,573,1943,885
"20",96,39,39,57,159,57,574,1959,886
"21",97,40,40,62,165,62,577,1960,889
"22",98,41,41,63,166,63,584,2141,890
"23",99,42,42,64,167,64,653,2142,892
"24",100,43,43,65,171,65,654,2143,893
"25",130,44,44,66,172,66,655,2289,913
"26",131,45,45,67,173,67,656,2293,914
"27",132,46,46,68,198,68,690,2294,916
"28",133,47,47,69,199,69,709,2316,918
"29",134,48,48,70,200,70,869,2317,919
"30",135,49,49,71,201,71,870,2318,920
"31",136,50,50,86,203,86,877,2319,921
"32",137,51,51,88,204,88,937,2320,922
"33",138,52,52,89,205,89,938,2585,923
"34",141,53,53,90,243,90,939,2586,928
"35",142,54,54,95,261,101,940,2588,930
"36",143,55,55,96,269,102,945,2589,931
"37",145,56,56,97,274,103,946,2590,946
"38",147,57,57,98,276,104,963,2671,963
"39",148,58,58,99,277,105,969,2672,964
"40",149,59,59,100,279,106,1322,2673,966
"41",150,60,60,101,280,107,1323,2674,967
"42",153,61,61,102,281,130,1334,2675,972
"43",155,62,62,103,282,131,1335,2676,973
"44",157,63,63,104,283,132,1375,3176,974
"45",164,64,64,105,284,133,1376,3177,975
"46",166,65,65,106,285,134,1380,3178,976
"47",167,66,66,107,286,141,1387,3179,979
"48",169,67,67,130,287,142,1429,0,980
"49",170,68,68,131,288,143,1467,0,981
"50",171,69,69,132,289,144,1533,0,982
"51",173,70,70,133,290,145,1932,0,988
"52",186,71,71,134,291,146,1942,0,989
"53",198,97,97,141,292,147,1978,0,990
"54",199,98,98,142,293,151,1983,0,991
"55",200,99,99,143,294,161,1991,0,994
"56",201,100,100,144,295,164,1992,0,1008
"57",202,101,101,145,296,165,1996,0,1009
"58",204,102,102,146,297,166,2000,0,1016
"59",205,103,103,147,298,167,2008,0,1017
"60",207,104,104,151,299,169,2075,0,1018
"61",208,105,105,161,300,170,2078,0,1019
"62",245,106,106,164,301,171,2079,0,1020
"63",246,107,107,165,303,172,2080,0,1021
"64",247,108,108,166,314,173,2081,0,1031
"65",250,109,109,167,315,186,2082,0,1032
"66",251,110,110,169,322,195,2083,0,1033
"67",252,111,111,170,325,197,2084,0,1034
"68",269,112,112,171,333,202,2085,0,1036
"69",279,113,113,172,336,203,2136,0,1037
"70",280,114,114,173,337,204,2137,0,1040
"71",281,115,115,185,342,205,2180,0,1041
"72",282,116,116,186,343,207,2181,0,1043
"73",283,124,124,195,344,208,2182,0,1050
"74",286,125,125,197,345,210,2183,0,1051
"75",287,126,126,202,346,211,2187,0,1075
"76",303,127,127,203,364,212,2214,0,1126
"77",306,132,132,204,366,213,2245,0,1127
"78",308,133,133,205,368,214,2265,0,1128
"79",309,134,134,207,369,216,2266,0,1129
"80",311,135,135,208,371,217,2277,0,1130
"81",312,136,136,210,379,218,2280,0,1131
"82",313,137,137,211,380,219,2283,0,1132
"83",320,138,138,212,381,220,2284,0,1133
"84",321,139,139,213,400,221,2285,0,1134
"85",322,140,140,214,401,224,2321,0,1135
"86",325,148,148,216,402,235,2324,0,1136
"87",336,149,149,217,418,236,2325,0,1137
"88",337,150,150,218,419,237,2326,0,1138
"89",338,151,151,219,420,238,2327,0,1139
"90",339,152,152,220,421,239,2332,0,1141
"91",340,153,153,221,422,240,2346,0,1143
"92",341,154,154,224,423,241,2348,0,1144
"93",364,155,155,235,424,243,2349,0,1145
"94",366,156,156,236,425,244,2351,0,1146
"95",368,157,157,237,426,247,2363,0,1147
"96",371,158,158,238,427,248,2364,0,1148
"97",379,159,159,239,428,249,2389,0,1149
"98",380,160,160,240,429,250,2392,0,1150
