COLUMN_NAM,LATIN_NAME,COMMON_NAM,YEAR,host.radius,pest.radius,spread,pest.radius2,pest.area2,Region,Guild,Continent,host.density,PHAGY,discpopden,intpopden,popden19002,popden19102,popden19202,popden19302,popden19402,popden19502,popden19602,popden19702,popden19802,popden19902,Popden20002,PopdenEst2007,Rd_Freq2,RdLengthKM2,Income19992,Dist2PortM2,Forestland2,HostFamCnt2,HostSppCnt2,HostGenCnt2,TreeDen2,TreeVol2,Total.Host.Volume,Host.Volume.Where.Pest.Present,Closest.Port,NumHosts,NumHostsUNK,PHAGYUNK,X,Host.Vol.pest.present.unk,X.1,X.2
EAB_pres,Agrilus planipennis,Emerald Ash Borer,19,1028,348,18.31489971,347.9830945,380422.473,NE,Borers,Asia,184.1229642,MONO,110.2349164,2000.703043,-0.326861729,-0.259543827,-0.192067054,-0.110394306,-0.074891422,0.002710715,0.111222133,0.201450505,0.229992777,0.271031768,0.347524075,0.386039878,30.68946187,243.0195483,18936.39515,542563.4337,102617.8042,14.34619265,33.36767236,19.59976153,10957.81612,10066034.39,611065229.3,124307441.9,NY,-0.137762316,,,,0.4504425,NA,0.203427451
SB_pres,Agrilus prionurus,Soapberry Borer,6,109,157,26.09625615,156.5775369,77020.935,SE,Borers,North America,13.41403511,MONO,67.85473729,472.2503287,-0.383492767,-0.35363475,-0.316413455,-0.273308056,-0.259362264,-0.211415584,-0.139955496,-0.097314557,-0.097998182,-0.09605788,-0.090521209,-0.097182434,43.64793812,356.2332323,17807.26435,339428.6267,175886.1757,11.57693523,32.26524673,19.39883779,2335.014517,3743947.874,502325.6178,145423.1327,SL,-0.543688471,,,,,NA,0.289499734
PTB_pres,Anarsia lineatella,Peach Twig Borer,137,910,731,5.332652026,730.5733275,1676785.454,SE,Borers,Europe,125.9260066,MONO,10.685809,6495.959843,-0.578239683,-0.555281648,-0.527850501,-0.48125478,-0.443488092,-0.35893982,-0.235354171,-0.090414024,0.094759314,0.287243659,0.545604049,0.765354722,48.34046185,350.2589674,18377.13771,203615.5345,9487.074793,2.030604277,3.84634736,2.362327723,3962.502936,7477452.422,327354925.4,199854632.9,SL,-0.543688471,,,,,NA,0.610513597
ALB_pres,Anoplophora glabripennis,Asian Longhorned Beetle,13,1200,59,3.925468705,51.03109317,8181.2491,NE,Borers,Asia,704.6385368,POLY,861.2915845,15393.13843,3.216006391,4.405336311,4.320533886,4.425864329,4.597306543,5.202786096,6.064095265,6.639360488,6.496803069,6.678432128,7.135852594,7.331739481,130.048183,665.8246838,24798.14008,190132.7978,144185.4372,10.67994043,25.2392832,14.68371657,13064.61657,13611529.86,3187734542,14136192.67,NY,1.215324867,,,,,NA,0.004434558
JCLB_pres,Callidellum rufipenne,Japanese Cedar Longhorn Beetle,55,700,80,1.449906577,79.74486172,19978.151,NE,Borers,UNK,75.27635337,OLIGO,18.59143833,2285.319776,-0.589702458,-0.577444303,-0.563718959,-0.554001849,-0.539959571,-0.510795328,-0.457634415,-0.412506218,-0.335294646,-0.242583689,-0.155228097,-0.077984949,27.17327861,276.5807324,17189.00522,800160.568,120966.2443,14.31116156,29.47682613,16.20547566,4120.041375,6333927.14,115838365.5,519737.6845,NY,-0.543688471,,,,,NA,0.004486749
PWB_pres,Cryptorhynchus lapathi,Poplar and Willow Borer,127,942,1154,9.083914551,1153.657148,4181223.621,NE,Borers,Europe,88.78338452,POLY,10.59033987,1715.432169,-0.579054147,-0.573727266,-0.572193274,-0.568457768,-0.563707333,-0.557182801,-0.550263397,-0.54544394,-0.52971709,-0.517714762,-0.510954635,-0.506317489,28.28124637,469.5465899,16898.23255,152022.3695,658630.34,10.1071747,30.93519747,18.09235379,1222.158054,2821543.209,247478659.1,185782690.4,SL,0.087752214,,,,,NA,0.750701863
EBB_pres,Hylastes opacus,European Bark Beetle,22,466,208,9.453200905,207.9704199,135879.209,NE,Borers,Europe,248.2177503,OLIGO,32.4930796,1007.503209,-0.576555302,-0.556350181,-0.539444642,-0.518417331,-0.50747527,-0.484226222,-0.449930694,-0.420601459,-0.392197911,-0.365272221,-0.328003533,-0.303521078,26.88695539,346.4990902,17000.02413,819728.7594,189994.1132,7.758489536,17.80525046,10.43118113,8817.761407,19796944.13,169413813.5,12732463.11,NY,0.013783448,UNK,,,,NA,0.075155991
RPBB_pres,Hylurgus ligniperda,Red-haired Pine Bark Beetle,9,1233,186,20.6384426,185.7459834,108389.88,SW,Borers,Eurasia,1510.81193,MONO,42.68308548,307.6755821,-0.598676931,-0.576108996,-0.559015655,-0.532974944,-0.519756288,-0.486710009,-0.444564838,-0.408319501,-0.382876694,-0.342930528,-0.305265127,-0.283586217,50.55654598,507.7191059,17562.32436,903409.2625,331276.0972,5.572685662,15.05826877,9.200316744,2845.952517,11426216.35,7216436237,67900077.58,SL,1.395736491,,,,,NA,0.009409087
MPEB_pres,Orthotomicus erosus,Mediterranean Pine Engraver Beetle,5,1233,163,32.56581058,162.8290529,83293.99,SW,Borers,Eurasia,1510.81193,OLIGO,245.2949044,1727.497046,0.158037644,0.356909446,0.538155516,0.717606569,0.754472087,0.915001831,1.130896592,1.317989139,1.287985309,1.331926345,1.423252969,1.448682507,65.75000456,421.9054541,21543.84073,181874.0521,255547.2437,11.88434528,30.93776503,17.89850653,3665.153961,4772210.536,7216436237,138976781.5,LB,1.395736491,,,,,NA,0.019258368
ELB_pres,Phoracantha recurva,Eucalyptus Longhorned Beetle,14,53,181,12.91366754,180.7913455,102684.56,SW,Borers,Australia,25.53943675,MONO,95.73432004,1059.735942,-0.657829173,-0.648295239,-0.63548574,-0.593621617,-0.542871312,-0.448231299,-0.285295025,-0.171292931,-0.025219749,0.147324557,-0.226586457,-0.142778302,114.4711998,1153.270179,13820.04609,378092.5519,235997.3757,6.971062668,16.96557971,9.189976089,1630.728542,16576419.83,223613.3797,100724.9697,LB,-0.543688471,,,,UNK,NA,NA
